Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Female Native American,2013,5 year June,263,184,70.0,167,63.5,90.8,46,17.5,25.0,121,46.0,65.8,17,6.5,9.2,24,9.1,44,16.7,8,3.0,3,1.1
Gender by Ethnicity,Female Native American,2012,5 year June,265,187,70.6,169,63.8,90.4,32,12.1,17.1,137,51.7,73.3,18,6.8,9.6,35,13.2,30,11.3,7,2.6,6,2.3
Gender by Ethnicity,Female Native American,2011,5 year June,257,191,74.3,182,70.8,95.3,34,13.2,17.8,148,57.6,77.5,9,3.5,4.7,28,10.9,29,11.3,5,1.9,4,1.6
Gender by Ethnicity,Female Native American,2010,5 year June,198,144,72.7,133,67.2,92.4,29,14.6,20.1,104,52.5,72.2,11,5.6,7.6,17,8.6,35,17.7,1,0.5,1,0.5
Gender by Ethnicity,Female Native American,2009,5 year June,201,137,68.2,130,64.7,94.9,30,14.9,21.9,100,49.8,73.0,7,3.5,5.1,17,8.5,40,19.9,2,1.0,5,2.5
Gender by Ethnicity,Female Native American,2008,5 year June,197,123,62.4,110,55.8,89.4,16,8.1,13.0,94,47.7,76.4,13,6.6,10.6,24,12.2,42,21.3,6,3.0,2,1.0
Gender by Ethnicity,Female Native American,2007,5 year June,176,108,61.4,80,45.5,74.1,20,11.4,18.5,60,34.1,55.6,28,15.9,25.9,18,10.2,41,23.3,5,2.8,4,2.3
Gender by Ethnicity,Female Native American,2006,5 year June,144,91,63.2,68,47.2,74.7,16,11.1,17.6,52,36.1,57.1,23,16.0,25.3,16,11.1,25,17.4,8,5.6,4,2.8
Gender by Ethnicity,Female Native American,2005,5 year June,131,78,59.5,54,41.2,69.2,19,14.5,24.4,35,26.7,44.9,24,18.3,30.8,15,11.5,26,19.8,8,6.1,4,3.1
Gender by Ethnicity,Female Native American,2004,5 year June,110,81,73.6,49,44.5,60.5,9,8.2,11.1,40,36.4,49.4,32,29.1,39.5,12,10.9,13,11.8,2,1.8,2,1.8
Gender by Ethnicity,Female Native American,2003,5 year June,92,53,57.6,37,40.2,69.8,12,13.0,22.6,25,27.2,47.2,16,17.4,30.2,16,17.4,20,21.7,2,2.2,0,0.0
Gender by Ethnicity,Female Native American,2002,5 year June,124,69,55.6,45,36.3,65.2,13,10.5,18.8,32,25.8,46.4,24,19.4,34.8,15,12.1,34,27.4,4,3.2,2,1.6
Gender by Ethnicity,Female Native American,2001,5 year June,117,68,58.1,35,29.9,51.5,10,8.5,14.7,25,21.4,36.8,33,28.2,48.5,16,13.7,29,24.8,4,3.4,0,0.0
Gender by Ethnicity,Female Native American,2012,6 year June,277,214,77.3,192,69.3,89.7,32,11.6,15.0,160,57.8,74.8,22,7.9,10.3,13,4.7,35,12.6,8,2.9,6,2.2
Gender by Ethnicity,Female Native American,2011,6 year June,265,204,77.0,190,71.7,93.1,34,12.8,16.7,156,58.9,76.5,14,5.3,6.9,22,8.3,30,11.3,5,1.9,4,1.5
Gender by Ethnicity,Female Native American,2010,6 year June,206,155,75.2,144,69.9,92.9,29,14.1,18.7,115,55.8,74.2,11,5.3,7.1,7,3.4,41,19.9,1,0.5,2,1.0
Gender by Ethnicity,Female Native American,2009,6 year June,205,144,70.2,137,66.8,95.1,30,14.6,20.8,107,52.2,74.3,7,3.4,4.9,10,4.9,43,21.0,3,1.5,5,2.4
Gender by Ethnicity,Female Native American,2008,6 year June,195,127,65.1,113,57.9,89.0,16,8.2,12.6,97,49.7,76.4,14,7.2,11.0,16,8.2,39,20.0,11,5.6,2,1.0
Gender by Ethnicity,Female Native American,2007,6 year June,176,114,64.8,81,46.0,71.1,20,11.4,17.5,61,34.7,53.5,33,18.8,28.9,9,5.1,44,25.0,6,3.4,3,1.7
Gender by Ethnicity,Female Native American,2006,6 year June,140,94,67.1,70,50.0,74.5,16,11.4,17.0,54,38.6,57.4,24,17.1,25.5,5,3.6,29,20.7,8,5.7,4,2.9
Gender by Ethnicity,Female Native American,2005,6 year June,131,84,64.1,58,44.3,69.0,19,14.5,22.6,39,29.8,46.4,26,19.8,31.0,4,3.1,33,25.2,8,6.1,1,0.8
Gender by Ethnicity,Female Native American,2004,6 year June,109,87,79.8,54,49.5,62.1,9,8.3,10.3,45,41.3,51.7,33,30.3,37.9,6,5.5,12,11.0,3,2.8,1,0.9
Gender by Ethnicity,Female Native American,2003,6 year June,93,59,63.4,40,43.0,67.8,12,12.9,20.3,28,30.1,47.5,19,20.4,32.2,8,8.6,21,22.6,2,2.2,2,2.2
Gender by Ethnicity,Female Native American,2002,6 year June,124,74,59.7,47,37.9,63.5,13,10.5,17.6,34,27.4,45.9,27,21.8,36.5,8,6.5,36,29.0,4,3.2,2,1.6
Gender by Ethnicity,Female Native American,2001,6 year June,117,70,59.8,35,29.9,50.0,10,8.5,14.3,25,21.4,35.7,35,29.9,50.0,7,6.0,34,29.1,6,5.1,0,0.0
Gender by Ethnicity,Female White,2014,4 year August,4940,4384,88.7,4208,85.2,96.0,1964,39.8,44.8,2244,45.4,51.2,176,3.6,4.0,382,7.7,133,2.7,16,0.3,25,0.5
Gender by Ethnicity,Female White,2013,4 year August,4579,4014,87.7,3855,84.2,96.0,1721,37.6,42.9,2134,46.6,53.2,159,3.5,4.0,377,8.2,147,3.2,22,0.5,19,0.4
Gender by Ethnicity,Female White,2012,4 year August,4732,4149,87.7,4003,84.6,96.5,1676,35.4,40.4,2327,49.2,56.1,146,3.1,3.5,381,8.1,165,3.5,17,0.4,18,0.4
Gender by Ethnicity,Female White,2011,4 year August,4741,4130,87.1,3993,84.2,96.7,1686,35.6,40.8,2307,48.7,55.9,137,2.9,3.3,381,8.0,184,3.9,22,0.5,23,0.5
Gender by Ethnicity,Female White,2010,4 year August,4903,4150,84.6,4013,81.8,96.7,1718,35.0,41.4,2295,46.8,55.3,137,2.8,3.3,477,9.7,249,5.1,13,0.3,11,0.2
Gender by Ethnicity,Female White,2009,4 year August,4814,4033,83.8,3893,80.9,96.5,1705,35.4,42.3,2188,45.5,54.3,140,2.9,3.5,507,10.5,222,4.6,27,0.6,22,0.5
Gender by Ethnicity,Female White,2008,4 year August,4840,4009,82.8,3874,80.0,96.6,1636,33.8,40.8,2238,46.2,55.8,135,2.8,3.4,528,10.9,262,5.4,21,0.4,18,0.4
Gender by Ethnicity,Female White,2007,4 year August,4676,3900,83.4,3592,76.8,92.1,1623,34.7,41.6,1969,42.1,50.5,308,6.6,7.9,426,9.1,278,5.9,31,0.7,41,0.9
Gender by Ethnicity,Female White,2006,4 year August,4694,3867,82.4,3388,72.2,87.6,1631,34.7,42.2,1757,37.4,45.4,479,10.2,12.4,445,9.5,304,6.5,36,0.8,40,0.9
Gender by Ethnicity,Female White,2005,4 year August,4776,3902,81.7,3341,70.0,85.6,1683,35.2,43.1,1658,34.7,42.5,561,11.7,14.4,458,9.6,305,6.4,56,1.2,55,1.2
Gender by Ethnicity,Female White,2004,4 year August,4840,3857,79.7,3278,67.7,85.0,No Data,No Data,No Data,No Data,No Data,No Data,580,12.0,15.0,557,11.5,355,7.3,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female White,2014,4 year June,4940,4321,87.5,4152,84.0,96.1,1959,39.7,45.3,2193,44.4,50.8,169,3.4,3.9,445,9.0,133,2.7,16,0.3,25,0.5
Gender by Ethnicity,Female White,2013,4 year June,4579,3941,86.1,3792,82.8,96.2,1717,37.5,43.6,2075,45.3,52.7,149,3.3,3.8,449,9.8,147,3.2,23,0.5,19,0.4
Gender by Ethnicity,Female White,2012,4 year June,4732,4075,86.1,3941,83.3,96.7,1674,35.4,41.1,2267,47.9,55.6,134,2.8,3.3,455,9.6,165,3.5,17,0.4,18,0.4
Gender by Ethnicity,Female White,2011,4 year June,4741,4048,85.4,3916,82.6,96.7,1685,35.5,41.6,2231,47.1,55.1,132,2.8,3.3,463,9.8,184,3.9,22,0.5,23,0.5
Gender by Ethnicity,Female White,2010,4 year June,4903,4056,82.7,3933,80.2,97.0,1712,34.9,42.2,2221,45.3,54.8,123,2.5,3.0,571,11.6,249,5.1,13,0.3,11,0.2
Gender by Ethnicity,Female White,2009,4 year June,4814,3897,81.0,3772,78.4,96.8,1698,35.3,43.6,2074,43.1,53.2,125,2.6,3.2,641,13.3,222,4.6,29,0.6,22,0.5
Gender by Ethnicity,Female White,2008,4 year June,4840,3898,80.5,3772,77.9,96.8,1631,33.7,41.8,2141,44.2,54.9,126,2.6,3.2,639,13.2,262,5.4,21,0.4,18,0.4
Gender by Ethnicity,Female White,2007,4 year June,4676,3778,80.8,3504,74.9,92.7,1618,34.6,42.8,1886,40.3,49.9,274,5.9,7.3,545,11.7,280,6.0,33,0.7,40,0.9
Gender by Ethnicity,Female White,2006,4 year June,4694,3761,80.1,3338,71.1,88.8,1624,34.6,43.2,1714,36.5,45.6,423,9.0,11.2,549,11.7,306,6.5,36,0.8,40,0.9
Gender by Ethnicity,Female White,2005,4 year June,4776,3795,79.5,3280,68.7,86.4,1680,35.2,44.3,1600,33.5,42.2,515,10.8,13.6,563,11.8,306,6.4,57,1.2,55,1.2
Gender by Ethnicity,Female White,2004,4 year June,4840,3716,76.8,3195,66.0,86.0,1744,36.0,46.9,1451,30.0,39.0,521,10.8,14.0,698,14.4,355,7.3,69,1.4,1,0.0
Gender by Ethnicity,Female White,2003,4 year June,5047,3800,75.3,3185,63.1,83.8,1653,32.8,43.5,1532,30.4,40.3,615,12.2,16.2,717,14.2,450,8.9,50,1.0,27,0.5
Gender by Ethnicity,Female White,2002,4 year June,5630,4064,72.2,3351,59.5,82.5,1648,29.3,40.6,1703,30.2,41.9,714,12.7,17.6,852,15.1,590,10.5,37,0.7,70,1.2
Gender by Ethnicity,Female White,2001,4 year June,5771,4062,70.4,3200,55.4,78.8,1693,29.3,41.7,1507,26.1,37.1,866,15.0,21.3,820,14.2,792,13.7,79,1.4,16,0.3
Gender by Ethnicity,Female White,2013,5 year August,4597,4118,89.6,3939,85.7,95.7,1723,37.5,41.8,2216,48.2,53.8,179,3.9,4.3,199,4.3,209,4.5,44,1.0,26,0.6
Gender by Ethnicity,Female White,2012,5 year August,4795,4282,89.3,4104,85.6,95.8,1678,35.0,39.2,2426,50.6,56.7,178,3.7,4.2,212,4.4,237,4.9,41,0.9,22,0.5
Gender by Ethnicity,Female White,2011,5 year August,4770,4278,89.7,4106,86.1,96.0,1686,35.3,39.4,2420,50.7,56.6,172,3.6,4.0,157,3.3,272,5.7,40,0.8,22,0.5
Gender by Ethnicity,Female White,2010,5 year August,4940,4339,87.8,4161,84.2,95.9,1721,34.8,39.7,2440,49.4,56.2,178,3.6,4.1,210,4.3,345,7.0,27,0.5,16,0.3
Gender by Ethnicity,Female White,2009,5 year August,4804,4171,86.8,4000,83.3,95.9,1706,35.5,40.9,2294,47.8,55.0,171,3.6,4.1,235,4.9,335,7.0,35,0.7,24,0.5
Gender by Ethnicity,Female White,2008,5 year August,4831,4152,85.9,3994,82.7,96.2,1638,33.9,39.5,2356,48.8,56.7,158,3.3,3.8,228,4.7,365,7.6,60,1.2,25,0.5
Gender by Ethnicity,Female White,2007,5 year August,4670,4020,86.1,3649,78.1,90.8,1625,34.8,40.4,2024,43.3,50.3,371,7.9,9.2,143,3.1,398,8.5,67,1.4,41,0.9
Gender by Ethnicity,Female White,2006,5 year August,4716,4015,85.1,3485,73.9,86.8,1634,34.6,40.7,1851,39.2,46.1,530,11.2,13.2,161,3.4,417,8.8,76,1.6,45,1.0
Gender by Ethnicity,Female White,2013,5 year June,4597,4107,89.3,3930,85.5,95.7,1722,37.5,41.9,2208,48.0,53.8,177,3.9,4.3,209,4.5,210,4.6,44,1.0,26,0.6
Gender by Ethnicity,Female White,2012,5 year June,4795,4276,89.2,4100,85.5,95.9,1678,35.0,39.2,2422,50.5,56.6,176,3.7,4.1,218,4.5,237,4.9,41,0.9,22,0.5
Gender by Ethnicity,Female White,2011,5 year June,4770,4263,89.4,4096,85.9,96.1,1686,35.3,39.5,2410,50.5,56.5,167,3.5,3.9,172,3.6,272,5.7,40,0.8,22,0.5
Gender by Ethnicity,Female White,2010,5 year June,4940,4319,87.4,4145,83.9,96.0,1721,34.8,39.8,2424,49.1,56.1,174,3.5,4.0,227,4.6,348,7.0,27,0.5,16,0.3
Gender by Ethnicity,Female White,2009,5 year June,4804,4144,86.3,3983,82.9,96.1,1706,35.5,41.2,2277,47.4,54.9,161,3.4,3.9,260,5.4,337,7.0,35,0.7,24,0.5
Gender by Ethnicity,Female White,2008,5 year June,4831,4132,85.5,3981,82.4,96.3,1638,33.9,39.6,2343,48.5,56.7,151,3.1,3.7,244,5.1,369,7.6,60,1.2,25,0.5
Gender by Ethnicity,Female White,2007,5 year June,4670,3998,85.6,3642,78.0,91.1,1625,34.8,40.6,2017,43.2,50.5,356,7.6,8.9,157,3.4,406,8.7,67,1.4,41,0.9
Gender by Ethnicity,Female White,2006,5 year June,4716,3999,84.8,3479,73.8,87.0,1634,34.6,40.9,1845,39.1,46.1,520,11.0,13.0,173,3.7,421,8.9,76,1.6,45,1.0
Gender by Ethnicity,Female White,2005,5 year June,4814,4054,84.2,3428,71.2,84.6,1692,35.1,41.7,1736,36.1,42.8,626,13.0,15.4,186,3.9,435,9.0,78,1.6,61,1.3
Gender by Ethnicity,Female White,2004,5 year June,4866,4027,82.8,3343,68.7,83.0,1762,36.2,43.8,1581,32.5,39.3,684,14.1,17.0,200,4.1,477,9.8,91,1.9,70,1.4
Gender by Ethnicity,Female White,2003,5 year June,5047,4068,80.6,3304,65.5,81.2,1662,32.9,40.9,1642,32.5,40.4,764,15.1,18.8,238,4.7,616,12.2,95,1.9,27,0.5
Gender by Ethnicity,Female White,2002,5 year June,5630,4417,78.5,3508,62.3,79.4,1667,29.6,37.7,1841,32.7,41.7,922,16.4,20.9,260,4.6,797,14.2,68,1.2,71,1.3
Gender by Ethnicity,Female White,2001,5 year June,5771,4400,76.2,3334,57.8,75.8,1710,29.6,38.9,1624,28.1,36.9,1070,18.5,24.3,218,3.8,1008,17.5,125,2.2,16,0.3
Gender by Ethnicity,Female White,2012,6 year June,4801,4306,89.7,4116,85.7,95.6,1678,35.0,39.0,2438,50.8,56.6,190,4.0,4.4,155,3.2,266,5.5,48,1.0,23,0.5
Gender by Ethnicity,Female White,2011,6 year June,4793,4304,89.8,4125,86.1,95.8,1686,35.2,39.2,2439,50.9,56.7,179,3.7,4.2,133,2.8,285,5.9,50,1.0,21,0.4
Gender by Ethnicity,Female White,2010,6 year June,4970,4398,88.5,4195,84.4,95.4,1721,34.6,39.1,2474,49.8,56.3,203,4.1,4.6,148,3.0,371,7.5,33,0.7,16,0.3
Gender by Ethnicity,Female White,2009,6 year June,4807,4215,87.7,4033,83.9,95.7,1706,35.5,40.5,2327,48.4,55.2,182,3.8,4.3,162,3.4,362,7.5,41,0.9,23,0.5
Gender by Ethnicity,Female White,2008,6 year June,4824,4186,86.8,4019,83.3,96.0,1638,34.0,39.1,2381,49.4,56.9,167,3.5,4.0,139,2.9,388,8.0,87,1.8,23,0.5
Gender by Ethnicity,Female White,2007,6 year June,4675,4052,86.7,3672,78.5,90.6,1626,34.8,40.1,2046,43.8,50.5,380,8.1,9.4,85,1.8,422,9.0,75,1.6,41,0.9
Gender by Ethnicity,Female White,2006,6 year June,4683,4047,86.4,3496,74.7,86.4,1632,34.8,40.3,1864,39.8,46.1,551,11.8,13.6,101,2.2,419,8.9,66,1.4,45,1.0
Gender by Ethnicity,Female White,2005,6 year June,4817,4113,85.4,3449,71.6,83.9,1692,35.1,41.1,1757,36.5,42.7,664,13.8,16.1,113,2.3,450,9.3,81,1.7,57,1.2
Gender by Ethnicity,Female White,2004,6 year June,4870,4087,83.9,3370,69.2,82.5,1762,36.2,43.1,1608,33.0,39.3,717,14.7,17.5,166,3.4,496,10.2,93,1.9,27,0.6
Gender by Ethnicity,Female White,2003,6 year June,5053,4134,81.8,3323,65.8,80.4,1662,32.9,40.2,1661,32.9,40.2,811,16.0,19.6,123,2.4,652,12.9,97,1.9,44,0.9
Gender by Ethnicity,Female White,2002,6 year June,5630,4482,79.6,3524,62.6,78.6,1667,29.6,37.2,1857,33.0,41.4,971,17.2,21.7,153,2.7,835,14.8,72,1.3,71,1.3
Gender by Ethnicity,Female White,2001,6 year June,5771,4467,77.4,3357,58.2,75.2,1710,29.6,38.3,1647,28.5,36.9,1117,19.4,25.0,83,1.4,1069,18.5,132,2.3,16,0.3
Gender by Ethnicity,Male Asian,2014,4 year August,6907,5859,84.8,5704,82.6,97.4,3106,45.0,53.0,2598,37.6,44.3,155,2.2,2.6,655,9.5,341,4.9,24,0.3,28,0.4
Gender by Ethnicity,Male Asian,2013,4 year August,6442,5392,83.7,5275,81.9,97.8,2794,43.4,51.8,2481,38.5,46.0,117,1.8,2.2,649,10.1,365,5.7,13,0.2,22,0.3
Gender by Ethnicity,Male Asian,2012,4 year August,6515,5332,81.8,5224,80.2,98.0,2804,43.0,52.6,2420,37.1,45.4,108,1.7,2.0,718,11.0,411,6.3,26,0.4,22,0.3
Gender by Ethnicity,Male Asian,2011,4 year August,6820,5551,81.4,5463,80.1,98.4,2949,43.2,53.1,2514,36.9,45.3,88,1.3,1.6,830,12.2,400,5.9,22,0.3,16,0.2
Gender by Ethnicity,Male Asian,2010,4 year August,6828,5402,79.1,5309,77.8,98.3,2851,41.8,52.8,2458,36.0,45.5,93,1.4,1.7,890,13.0,492,7.2,25,0.4,17,0.2
Gender by Ethnicity,Male Asian,2009,4 year August,6774,5157,76.1,5066,74.8,98.2,2727,40.3,52.9,2339,34.5,45.4,91,1.3,1.8,991,14.6,566,8.4,30,0.4,27,0.4
Gender by Ethnicity,Male Asian,2008,4 year August,6582,5132,78.0,5040,76.6,98.2,2720,41.3,53.0,2320,35.2,45.2,92,1.4,1.8,904,13.7,485,7.4,34,0.5,25,0.4
Gender by Ethnicity,Male Asian,2007,4 year August,6328,4988,78.8,4676,73.9,93.7,2584,40.8,51.8,2092,33.1,41.9,312,4.9,6.3,778,12.3,488,7.7,22,0.3,50,0.8
Gender by Ethnicity,Male Asian,2006,4 year August,5844,4538,77.7,4144,70.9,91.3,2390,40.9,52.7,1754,30.0,38.7,394,6.7,8.7,733,12.5,484,8.3,25,0.4,62,1.1
Gender by Ethnicity,Male Asian,2005,4 year August,5783,4339,75.0,3830,66.2,88.3,2293,39.7,52.8,1537,26.6,35.4,509,8.8,11.7,863,14.9,455,7.9,27,0.5,99,1.7
Gender by Ethnicity,Male Asian,2004,4 year August,5700,4106,72.0,3591,63.0,87.5,No Data,No Data,No Data,No Data,No Data,No Data,517,9.1,12.6,989,17.4,561,9.8,No Data,No Data,No Data,No Data
Gender by Ethnicity,Male Asian,2014,4 year June,6907,5638,81.6,5505,79.7,97.6,3077,44.5,54.6,2428,35.2,43.1,133,1.9,2.4,876,12.7,341,4.9,24,0.3,28,0.4
Gender by Ethnicity,Male Asian,2013,4 year June,6442,5168,80.2,5069,78.7,98.1,2766,42.9,53.5,2303,35.7,44.6,99,1.5,1.9,872,13.5,365,5.7,13,0.2,22,0.3
Gender by Ethnicity,Male Asian,2012,4 year June,6515,5154,79.1,5066,77.8,98.3,2786,42.8,54.1,2280,35.0,44.2,88,1.4,1.7,896,13.8,411,6.3,26,0.4,22,0.3
Gender by Ethnicity,Male Asian,2011,4 year June,6820,5338,78.3,5263,77.2,98.6,2916,42.8,54.6,2347,34.4,44.0,75,1.1,1.4,1043,15.3,400,5.9,22,0.3,16,0.2
Gender by Ethnicity,Male Asian,2010,4 year June,6828,5150,75.4,5074,74.3,98.5,2816,41.2,54.7,2258,33.1,43.8,76,1.1,1.5,1142,16.7,492,7.2,25,0.4,17,0.2
Gender by Ethnicity,Male Asian,2009,4 year June,6774,4888,72.2,4813,71.1,98.5,2690,39.7,55.0,2123,31.3,43.4,75,1.1,1.5,1258,18.6,566,8.4,32,0.5,27,0.4
Gender by Ethnicity,Male Asian,2008,4 year June,6582,4917,74.7,4832,73.4,98.3,2703,41.1,55.0,2129,32.3,43.3,85,1.3,1.7,1117,17.0,486,7.4,35,0.5,25,0.4
Gender by Ethnicity,Male Asian,2007,4 year June,6328,4737,74.9,4484,70.9,94.7,2553,40.3,53.9,1931,30.5,40.8,253,4.0,5.3,1024,16.2,492,7.8,25,0.4,49,0.8
Gender by Ethnicity,Male Asian,2006,4 year June,5844,4310,73.8,3995,68.4,92.7,2357,40.3,54.7,1638,28.0,38.0,315,5.4,7.3,959,16.4,486,8.3,25,0.4,62,1.1
Gender by Ethnicity,Male Asian,2005,4 year June,5783,4107,71.0,3677,63.6,89.5,2253,39.0,54.9,1424,24.6,34.7,430,7.4,10.5,1095,18.9,455,7.9,27,0.5,99,1.7
Gender by Ethnicity,Male Asian,2004,4 year June,5700,3877,68.0,3446,60.5,88.9,2216,38.9,57.2,1230,21.6,31.7,431,7.6,11.1,1218,21.4,561,9.8,34,0.6,10,0.2
Gender by Ethnicity,Male Asian,2003,4 year June,5424,3538,65.2,3107,57.3,87.8,1944,35.8,54.9,1163,21.4,32.9,431,7.9,12.2,1181,21.8,662,12.2,19,0.4,18,0.3
Gender by Ethnicity,Male Asian,2002,4 year June,5497,3345,60.9,2868,52.2,85.7,1682,30.6,50.3,1186,21.6,35.5,480,8.7,14.3,1225,22.3,808,14.7,16,0.3,60,1.1
Gender by Ethnicity,Male Asian,2001,4 year June,5112,3073,60.1,2468,48.3,80.3,1489,29.1,48.5,979,19.2,31.9,606,11.9,19.7,1149,22.5,841,16.5,39,0.8,9,0.2
Gender by Ethnicity,Male Asian,2013,5 year August,6424,5514,85.8,5375,83.7,97.5,2752,42.8,49.9,2623,40.8,47.6,139,2.2,2.5,278,4.3,496,7.7,104,1.6,32,0.5
Gender by Ethnicity,Male Asian,2012,5 year August,6495,5541,85.3,5410,83.3,97.6,2811,43.3,50.7,2599,40.0,46.9,131,2.0,2.4,319,4.9,539,8.3,66,1.0,27,0.4
Gender by Ethnicity,Male Asian,2011,5 year August,6808,5799,85.2,5681,83.4,98.0,2958,43.4,51.0,2723,40.0,47.0,118,1.7,2.0,313,4.6,605,8.9,69,1.0,20,0.3
Gender by Ethnicity,Male Asian,2010,5 year August,6780,5675,83.7,5547,81.8,97.7,2864,42.2,50.5,2683,39.6,47.3,128,1.9,2.3,363,5.4,676,10.0,42,0.6,22,0.3
Gender by Ethnicity,Male Asian,2009,5 year August,6758,5456,80.7,5344,79.1,97.9,2747,40.6,50.3,2597,38.4,47.6,112,1.7,2.1,409,6.1,809,12.0,46,0.7,33,0.5
Gender by Ethnicity,Male Asian,2008,5 year August,6566,5416,82.5,5309,80.9,98.0,2746,41.8,50.7,2563,39.0,47.3,107,1.6,2.0,366,5.6,670,10.2,77,1.2,34,0.5
Gender by Ethnicity,Male Asian,2007,5 year August,6263,5202,83.1,4795,76.6,92.2,2572,41.1,49.4,2223,35.5,42.7,407,6.5,7.8,224,3.6,729,11.6,52,0.8,53,0.8
Gender by Ethnicity,Male Asian,2006,5 year August,5889,4827,82.0,4343,73.7,90.0,2416,41.0,50.1,1927,32.7,39.9,484,8.2,10.0,258,4.4,670,11.4,69,1.2,63,1.1
Gender by Ethnicity,Male Asian,2013,5 year June,6424,5480,85.3,5346,83.2,97.6,2751,42.8,50.2,2595,40.4,47.4,134,2.1,2.4,309,4.8,499,7.8,104,1.6,32,0.5
Gender by Ethnicity,Male Asian,2012,5 year June,6495,5503,84.7,5378,82.8,97.7,2811,43.3,51.1,2567,39.5,46.6,125,1.9,2.3,356,5.5,540,8.3,66,1.0,27,0.4
Gender by Ethnicity,Male Asian,2011,5 year June,6808,5757,84.6,5643,82.9,98.0,2957,43.4,51.4,2686,39.5,46.7,114,1.7,2.0,355,5.2,605,8.9,69,1.0,20,0.3
Gender by Ethnicity,Male Asian,2010,5 year June,6780,5632,83.1,5508,81.2,97.8,2863,42.2,50.8,2645,39.0,47.0,124,1.8,2.2,402,5.9,680,10.0,42,0.6,22,0.3
Gender by Ethnicity,Male Asian,2009,5 year June,6758,5400,79.9,5290,78.3,98.0,2745,40.6,50.8,2545,37.7,47.1,110,1.6,2.0,464,6.9,810,12.0,46,0.7,33,0.5
Gender by Ethnicity,Male Asian,2008,5 year June,6566,5348,81.4,5242,79.8,98.0,2740,41.7,51.2,2502,38.1,46.8,106,1.6,2.0,430,6.5,674,10.3,77,1.2,34,0.5
Gender by Ethnicity,Male Asian,2007,5 year June,6263,5156,82.3,4767,76.1,92.5,2572,41.1,49.9,2195,35.0,42.6,389,6.2,7.5,263,4.2,736,11.8,52,0.8,53,0.8
Gender by Ethnicity,Male Asian,2006,5 year June,5889,4792,81.4,4321,73.4,90.2,2416,41.0,50.4,1905,32.3,39.8,471,8.0,9.8,285,4.8,679,11.5,69,1.2,63,1.1
Gender by Ethnicity,Male Asian,2005,5 year June,5795,4665,80.5,4037,69.7,86.5,2350,40.6,50.4,1687,29.1,36.2,628,10.8,13.5,292,5.0,686,11.8,59,1.0,91,1.6
Gender by Ethnicity,Male Asian,2004,5 year June,5710,4432,77.6,3764,65.9,84.9,2288,40.1,51.6,1476,25.8,33.3,668,11.7,15.1,358,6.3,753,13.2,64,1.1,102,1.8
Gender by Ethnicity,Male Asian,2003,5 year June,5424,4088,75.4,3408,62.8,83.4,2027,37.4,49.6,1381,25.5,33.8,680,12.5,16.6,373,6.9,877,16.2,60,1.1,20,0.4
Gender by Ethnicity,Male Asian,2002,5 year June,5497,3910,71.1,3173,57.7,81.2,1764,32.1,45.1,1409,25.6,36.0,748,13.6,19.1,394,7.2,1055,19.2,35,0.6,60,1.1
Gender by Ethnicity,Male Asian,2001,5 year June,5112,3577,70.0,2677,52.4,74.8,1537,30.1,43.0,1140,22.3,31.9,902,17.6,25.2,355,6.9,1101,21.5,66,1.3,9,0.2
Gender by Ethnicity,Male Asian,2012,6 year June,6480,5594,86.3,5454,84.2,97.5,2813,43.4,50.3,2641,40.8,47.2,140,2.2,2.5,181,2.8,589,9.1,72,1.1,33,0.5
Gender by Ethnicity,Male Asian,2011,6 year June,6791,5849,86.1,5729,84.4,97.9,2960,43.6,50.6,2769,40.8,47.3,120,1.8,2.1,201,3.0,643,9.5,77,1.1,20,0.3
Gender by Ethnicity,Male Asian,2010,6 year June,6771,5753,85.0,5616,82.9,97.6,2866,42.3,49.8,2750,40.6,47.8,137,2.0,2.4,217,3.2,731,10.8,44,0.6,24,0.4
Gender by Ethnicity,Male Asian,2009,6 year June,6751,5544,82.1,5423,80.3,97.8,2748,40.7,49.6,2675,39.6,48.3,121,1.8,2.2,246,3.6,867,12.8,52,0.8,39,0.6
Gender by Ethnicity,Male Asian,2008,6 year June,6567,5489,83.6,5375,81.8,97.9,2747,41.8,50.0,2628,40.0,47.9,114,1.7,2.1,208,3.2,729,11.1,104,1.6,32,0.5
Gender by Ethnicity,Male Asian,2007,6 year June,6296,5303,84.2,4878,77.5,92.0,2596,41.2,49.0,2282,36.2,43.0,425,6.8,8.0,127,2.0,751,11.9,58,0.9,53,0.8
Gender by Ethnicity,Male Asian,2006,6 year June,5847,4906,83.9,4397,75.2,89.6,2419,41.4,49.3,1978,33.8,40.3,509,8.7,10.4,88,1.5,715,12.2,72,1.2,61,1.0
